tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
-6.942857142857143,-12.039285714285715,-19.3,-2.2535714285714286,3.9,85.8,19.224999999999998,1017.9545454545455,2015-02-01,11699557.29,1971260.96,28.690247252747252,1691826.76,1835910.73,29.456973293768545
0.48387096774193544,-3.512903225806452,-12.7,4.961290322580646,13.9,77.5,17.787096774193547,1018.2370370370371,2015-03-01,13422339.25,1521054.94,30.025312595303447,1113351.42,1304638.21,30.392105263157895
8.783333333333333,4.58,-1.0,13.206666666666667,20.6,58.0,19.23,1015.0655172413793,2015-04-01,11236185.5,895120.5,30.43139158576052,430276.65,514512.18,29.970027247956402
16.48709677419355,10.770967741935483,3.9,22.88064516129032,31.7,31.0,17.729032258064517,1019.2172413793103,2015-05-01,10834237.2,865544.89,31.078648033799155,286320.12,332675.79,31.13595166163142
17.683333333333334,14.04,7.8,22.246666666666666,31.1,127.4,15.383333333333333,1015.342857142857,2015-06-01,15161706.2,1280096.34,30.794371602174607,251927.22,313868.35000000003,30.256345177664976
23.048387096774192,19.016129032258064,15.0,27.51290322580645,33.3,53.1,14.296774193548387,1012.4233333333334,2015-07-01,12715133.2,1166300.92,29.57535575679172,217691.91999999998,267809.62,30.282608695652176
23.248387096774195,19.20967741935484,16.1,28.17096774193548,32.8,55.6,14.058064516129033,1014.7774193548387,2015-08-01,12801941.7,1130994.78,30.758790436005626,226899.68,181576.19,30.457865168539325
20.59333333333333,16.11,8.9,25.23,35.6,100.0,14.92,1019.0185185185185,2015-09-01,13071725.03,1226642.78,30.794136597938145,404537.51,241055.15,29.43089430894309
12.241935483870968,8.12258064516129,-0.5,16.316129032258065,24.4,44.1,18.56451612903226,1019.4,2015-10-01,12101924.83,1176575.92,30.679135762657207,786024.71,771793.6900000001,29.9556135770235
9.303333333333335,5.17,-2.1,13.25,24.4,52.5,16.436666666666667,1021.59,2015-11-01,10668420.83,1011567.01,31.105119453924914,980920.45,1056603.76,31.82484076433121
7.112903225806452,3.793548387096774,-4.3,10.948387096774194,20.6,108.7,14.458064516129031,1019.8692307692307,2015-12-01,12718044.0,1319533.92,30.74039048200122,1451033.09,1492169.69,31.332386363636363
0.13548387096774198,-3.519354838709677,-13.2,4.17741935483871,14.4,83.1,19.81935483870968,1014.41,2016-01-01,13272818.0,1316374.18,30.35918501478804,1388950.17,1420032.16,29.88150289017341
1.396551724137931,-3.4655172413793105,-22.7,6.5344827586206895,18.3,106.2,20.56551724137931,1014.988,2016-02-01,9649063.0,1046526.26,29.166273187183812,1159531.39,1193949.26,30.349693251533743
5.616129032258065,1.6935483870967742,-6.0,10.006451612903225,25.0,80.5,19.387096774193548,1016.782142857143,2016-03-01,12724269.0,1301473.89,29.995117485505034,868532.87,951250.9,31.114906832298136
8.28,4.206666666666667,-5.5,12.566666666666666,25.6,74.0,18.326666666666664,1016.6310344827587,2016-04-01,9828352.0,1012544.0,30.244990303813832,563690.77,550434.63,30.235119047619047
14.254838709677419,10.393548387096773,5.6,19.161290322580644,33.3,71.8,15.980645161290322,1014.8857142857142,2016-05-01,13053224.0,1195830.42,30.86694587628866,255713.38,284563.54,30.294117647058822
19.959999999999997,15.56,12.2,24.91,30.6,33.7,17.113333333333333,1012.6482758620689,2016-06-01,13170939.0,1295252.15,30.349354838709676,215424.61,251547.52,31.205128205128204
24.1,19.690322580645162,15.0,29.27741935483871,36.7,22.099999999999998,15.858064516129033,1013.6,2016-07-01,13491592.0,1374958.9,30.2678916827853,177602.86000000002,211939.31,29.85667752442997
24.383870967741935,20.080645161290324,16.1,29.274193548387096,36.7,43.7,16.9741935483871,1016.6566666666666,2016-08-01,14309624.0,1457434.26,32.07395498392283,199615.79,254601.43000000002,30.04032258064516
19.553333333333335,15.943333333333333,8.9,23.529999999999998,33.9,35.2,17.456666666666667,1018.9499999999999,2016-09-01,12541221.0,1261927.73,29.99164524421594,356129.87,392532.99,30.383928571428573
12.861290322580645,9.009677419354839,1.1,16.91290322580645,27.2,138.70000000000002,17.212903225806453,1019.403448275862,2016-10-01,11881010.0,1137293.32,29.727651393784043,680836.89,703906.17,29.89111747851003
7.72,3.806666666666666,-1.0,11.966666666666667,21.1,68.60000000000001,16.573333333333334,1015.5433333333333,2016-11-01,12256688.0,1693804.31,31.23648,1226709.43,1241700.69,31.0
1.8741935483870968,-1.8612903225806452,-15.5,5.535483870967742,14.4,82.8,19.519354838709678,1017.6379310344828,2016-12-01,11461932.0,1678520.53,30.940912010276172,1564400.26,1585204.92,30.949579831932773
1.8774193548387097,-1.5096774193548386,-11.6,5.003225806451613,16.1,108.0,20.338709677419356,1016.2655172413794,2017-01-01,13147116.0,1460494.03,29.616762635956494,1311461.66,1289119.29,29.081159420289854
2.2821428571428575,-1.8785714285714286,-11.6,7.071428571428571,22.8,81.9,20.432142857142857,1012.8041666666667,2017-02-01,10273746.0,1045205.17,29.863120337333765,1207168.15,1172987.08,29.65615141955836
1.1806451612903226,-2.9193548387096775,-12.7,5.22258064516129,17.2,106.2,22.041935483870965,1019.1481481481482,2017-03-01,12802588.0,1255369.63,29.97159090909091,1034703.41,897445.6,31.11021505376344
